CODE,UZ,RU,EN,Definition,Diagnostic.code
lab-rep-20,Qon quyish komissiyasining xulosasi,Заключение комисии по переливанию крови,Blood Transfusion Commission Conclusion,,
lab-rep-21,Gemo(plazma)transfuziya bayonnomasi,Протокол гемо(плазмо)трансфузии,Hemo(Plasma) Transfusion Protocol,,
lab-rep-22,Hayotida birinchi bor saraton kasalligi yoki boshqa yomon sifatli o'sma tashxisi qo'yilgan bemor haqida xabar,Сообщение о пациенте с впервые выявленным онкологическим или злокачественным заболеванием,Notification of First-Time Cancer or Malignant Tumor Diagnosis,,
lab-rep-23,Kolonoskopiya bayoni,Протокол колоноскопии,Colonoscopy Report,,
lab-rep-24,Quloq oldi bezining UTT bayoni,Протокол УЗИ околоушной железы,Parotid Gland Ultrasound Report,,
lab-rep-25,Qalqonsimon bezining UTT bayoni,Протокол УЗИ щитовидной железы,Thyroid Gland Ultrasound Report,,
lab-rep-26,Sut bezlarining UTT bayoni,Протокол УЗИ молочных желез,Breast Ultrasound Report,,
lab-rep-27,Ayrisimon bezining UTT bayoni,Протокол УЗИ вилочковой железы,Thymus Gland Ultrasound Report,,
lab-rep-28,Buyrak usti bezining UTT bayoni,Протокол УЗИ надпочечников,Adrenal Gland Ultrasound Report,,
lab-rep-29,"Oshqozon-ichak tizimining (qizilo'ngach, oshqozon va ichak) UTT bayoni",Протокол УЗИ желудочно-кишечного тракта,Gastrointestinal Tract Ultrasound Report,,
lab-rep-30,Siydik pufagi UTT bayoni,Протокол УЗИ мочевого пузыря,Urinary Bladder Ultrasound Report,,
lab-rep-31,Prostata bezi va urug' pufakchasining UTT bayoni,Протокол УЗИ предстательной железы и семенных пузырьков,Prostate and Seminal Vesicle Ultrasound Report,,
lab-rep-32,Yorg'oqning UTT bayoni,Протокол УЗИ мошонки,Scrotal Ultrasound Report,,
lab-rep-33,Yurakning UTT bayoni,Протокол УЗИ сердца,Cardiac Ultrasound Report,,
lab-rep-34,Fonokardiogramma,Фонокардиограмма,Phonocardiogram,,
lab-rep-35,Sado-kardiografiya,Эхокардиография,Echocardiography,,
lab-rep-36,Kichik chanoq a'ozolari UTT bayoni,Протокол УЗИ органов малого таза,Pelvic Organs Ultrasound Report,,
lab-rep-37,Tos-son suyagi UTT bayoni,Протокол УЗИ тазобедренного сустава,Hip Joint Ultrasound Report,,
lab-rep-38,Jigar va o't pufagi UTT bayoni,Протокол УЗИ печени и желчного пузыря,Liver and Gallbladder Ultrasound Report,,
lab-rep-39,Taloqning UTT bayoni,Протокол УЗИ селезёнки,Spleen Ultrasound Report,,
lab-rep-40,Buyrakning UTT bayoni,Протокол УЗИ почек,Kidney Ultrasound Report,,
lab-rep-41,Oshqozon osti bezi UTT bayoni,Протокол УЗИ поджелудочной железы,Pancreas Ultrasound Report,,
lab-rep-42,Limfa-uzel UTT tekshiruv bayoni,Протокол УЗИ лимфатических узлов,Lymph Node Ultrasound Report,,
lab-rep-43,Ko'zni UTT tekshiruv bayoni,Протокол УЗИ глаза,Eye Ultrasound Report,,
lab-rep-44,Bosh miyaning UTT tekshiruv bayoni,Протокол УЗИ головного мозга,Brain Ultrasound Report,,
lab-rep-45,Elektroensefalografiya,Электроэнцефалография,Electroencephalography,,
lab-rep-46,Reoensefalografiya,Реоэнцефалография,Rheoencephalography,,
lab-rep-47,Sadoensefalografiya,Эхоэнцефалография,Echoencephalography,,
lab-rep-48,Braxiotsefal arteriyalarning ultratovush dopplerografiyasi,Ультразвуковая допплерография брахиоцефальных артерий,Brachiocephalic Artery Ultrasound Dopplerography,,
lab-rep-49,Bemorda o'tinqiragan yomon sifatli o'sma turi aniqlangan xol uchun (IV klinik guruh) bayonnomasi,Протокол для пациента с запущенной злокачественной опухолью (IV клиническая группа),Protocol for Patient with Advanced Malignant Tumor (Clinical Group IV),,
lab-rep-50,Rezus-faktor va qon gruppasi tahlili №,Анализ на резус-фактор и группу крови,Blood Group and Rh Factor Test,,
lab-rep-51,Qon ivish vaqti tahlili,Анализ времени свёртывания крови,Blood Clotting Time Test,,
lab-rep-52,Beshlik qon tahlili,Анализ крови пятипараметрический,Five-Parameter Blood Test,,
lab-rep-53,Qonning biokimyoviy tahlili,Биохимический анализ крови,Biochemical Blood Test,,
lab-rep-54,Qon zardobida lipoproteidlar tahlili,Анализ липопротеидов в сыворотке крови,Serum Lipoprotein Analysis,,
lab-rep-55,Mikrobiologik tekshiruv natijasi,Результат микробиологического исследования,Microbiological Test Result,,
lab-rep-56,Vasserman reaktsiyasiga qon tahlili va boshqalar,Анализ крови на реакцию Вассермана,Wassermann Reaction Blood Test,,
lab-rep-57,Laboratoriya diagnostika bo'limi Vitamin-D,Витамин D (лабораторная диагностика),Vitamin D Laboratory Test,,
lab-rep-58,"Antistreptolizin-0, S- reaktiv oqsili va Revmatoid omiliga qonni tekshirish tahlili","Анализ крови на антистрептолизин-O, C-реактивный белок и ревматоидный фактор","Antistreptolysin-O, C-Reactive Protein and Rheumatoid Factor Blood Test",,
lab-rep-59,"HBsAg – antigen (HDV) musbat, anti-HCV musbat laborator tahlili","Лабораторный анализ HBsAg – антиген (HDV) положительный, anti-HCV положительный","HBsAg – Antigen (HDV) Positive, Anti-HCV Positive Laboratory Test",,
lab-rep-60,Siydik tahlili,Общий анализ мочи,Urinalysis,,
lab-rep-61,Zimniskiy bo'yicha siydik tahlili,Анализ мочи по Зимницкому,Zimnitsky Urine Test,,
lab-rep-62,Glyukozaga va keton tanachasiga siydik tahlili,Анализ мочи на глюкозу и кетоновые тела,Urine Glucose and Ketone Body Test,,
lab-rep-63,Siydik tahlili alfa - amilaza faolligi,Анализ мочи на активность альфа-амилазы,Urine Alpha-Amylase Activity Test,,
lab-rep-64,Siydik shakliy elementlar sonini aniqlash tahlili,Анализ мочи на количество форменных элементов,Urine Formed Elements Count Test,,
lab-rep-65,TORCH infeksiyasi tekshiruvi,Исследование на TORCH-инфекции,TORCH Infection Test,,
lab-rep-66,Duodenal shirasi tahlili,Анализ дуоденального содержимого,Duodenal Contents Analysis,,
lab-rep-67,Orqa miya suyuqligi tahlili,Анализ спинномозговой жидкости,Cerebrospinal Fluid Analysis,,
lab-rep-68,Kimyo-terapevtik preparatlarga ajratilgan kulturalarni sezgirligini aniqlash va mikrobiologik tekshirish natijalari,Определение чуствительности выделенных культур к химиотерапевтическим препаратам и результаты микробиологического исследования,Sensitivity of Isolated Cultures to Chemotherapeutic Agents and Microbiological Test Results,,
lab-rep-69,Glyukoza borligini aniqlash bo'yicha qon tahlili,Анализ крови на наличие глюкозы,Blood Glucose Test,,
lab-rep-70,"Vidal, Rayta-Xeddelpson va boshqa reaksiyalarga qonni tahlili","Анализ крови на реакции Видаля, Райта-Хедделпсона и другие","Widal, Wright-Heddelpson and Other Reactions Blood Test",,
lab-rep-71,Immunoglobulin tahlili,Анализ иммуноглобулинов,Immunoglobulin Test,,
lab-rep-72,"Alfa fetoprotein, gepatit (B) antigen (HBs Ag) tahlili",Анализ на альфа-фетопротеин и антиген гепатита B (HBsAg),Alpha-Fetoprotein and Hepatitis B Antigen (HBsAg) Test,,
lab-rep-73,Komplimentning gemolitik faolligi tahlili,Анализ гемолитической активности комплемента,Complement Hemolytic Activity Test,,
lab-rep-74,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-75,Klinik - diagnostik laboratoriya TORCH infeksiyasi IXLA tahlili,Анализ ИФА на TORCH-инфекции (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory TORCH Infection ELISA Test,,
lab-rep-76,Klinik - diagnostik laboratoriya TORCH infeksiyasi IXLA tahlili,Анализ ИФА на TORCH-инфекции (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory TORCH Infection ELISA Test,,
lab-rep-77,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-78,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-79,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-80,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-81,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-82,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-83,Klinik - diagnostik laboratoriya IXLA tahlili,Лабораторный анализ ИФА (клинико-диагностическая лаборатория),Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-84,Klinik - diagnostik laboratoriya Lizosomal kasalliklarga selektiv skrining tahlil natijalari “Mass-spektrometr Perkin Elmer 210”,Клинико-диагностическая лаборатория Результаты селективного скрининга на лизосомальные болезни (масс-спектрометр Perkin Elmer 210),Clinical Diagnostic Laboratory. Selective Screening Results for Lysosomal Diseases (Mass Spectrometer Perkin Elmer 210),,
lab-rep-85,Klinik - diagnostik laboratoriya PSR tahlili,Клинико-диагностическая лаборатория. Анализ ПЦР,Clinical Diagnostic Laboratory PCR Test,,
lab-rep-86,Klinik - diagnostik laboratoriya PSR tahlili,Клинико-диагностическая лаборатория. Анализ ПЦР,Clinical Diagnostic Laboratory PCR Test,,
lab-rep-87,Kimyo-terapevtik preparatlarga ajratilgan kulturalarni sezgirligini aniqlash va mikrobiologik tekshirish natijalari,Определение чуствительности выделенных культур к химиотерапевтическим препаратам и результаты микробиологического исследования,Sensitivity of Isolated Cultures to Chemotherapeutic Agents and Microbiological Test Results,,
lab-rep-88,Klinik-diagnostik laboratoriya miyelogramma,Клинико-диагностическая лаборатория Миелограмма,Clinical Diagnostic Laboratory Myelogram,,
lab-rep-89,APM va shifoxona hamda qon qo'yish markaz laboratoriyalaridan sanitariya -epidemiologiya osoyishtalik va jamoat salomatligi qo'mitasiga xabar varaqasi,"Уведомительный лист из лабороторий АПМ, больниц и центров переливание крови в Комитет санитарно-эпидемиологического благополучия и общественного здоровья","Notification Sheet from APM, Hospital and Blood Transfusion Center Laboratories to the Committee of Sanitary-Epidemiological Welfare and Public Health",,
lab-rep-90,Tahlil natijalari,Результаты анализов,Test Results,,
lab-rep-91,Najas tahlili,Анализ кала,Stool Analysis,,
lab-rep-92,Klinik-diagnostik laboratoriya mielogramma,Клинико- диагностическая лаборатория Миелограмма,Clinical Diagnostic Laboratory Myelogram,,
lab-rep-93,"Sitogenetik, molekulyar-sitogenik tekshiruv natijalari",Результаты цитогенетического и молекулярно-цитогенетического исследования,Cytogenetic and Molecular Cytogenetic Test Results,,
lab-rep-94,1 trimestr prenatal biokimyoviy skrining xulosasi,Заключение пренатального биохимического скрининга 1 триместра,First Trimester Prenatal Biochemical Screening Conclusion,,
lab-rep-95,2 trimestr prenatal biokimyoviy skrining xulosasi,Заключение пренатального биохимического скрининга 2 триместра,Second Trimester Prenatal Biochemical Screening Conclusion,,
lab-rep-96,I trimestr prenatal skrining ultratovush tekshiruvi protokoli (11 hafta - 13 hafta 6 kun),Протокол пренатального скринингового ультразвукового исследования I триместра (11 недель - 13 недель 6 дней),First Trimester Prenatal Screening Ultrasound Protocol (11 weeks – 13 weeks 6 days),,
lab-rep-97,Ikkinchi trimestr prenatal skrining ultratovush tekshiruvi protokoli (18 hafta - 20 hafta 6 kun),Протокол пренатального скринингового ультразвукового исследования II триместра (18 недель - 20 недель 6 дней),Second Trimester Prenatal Screening Ultrasound Protocol (18 weeks – 20 weeks 6 days),,
lab-rep-98,Uchinchi trimestr prenatal skrining ultratovush tekshiruvi protokoli,Протокол пренатального ультразвукового исследования III триместра,Third Trimester Prenatal Ultrasound Protocol,,
lab-rep-99,Tibbiy genetik xulosasi,Заключение медицинского генетика,Medical Geneticist Conclusion,,
lab-rep-100,Invaziv prenatal diagnostika protokoli,Протокол инвазивной пренатальной диагностики,Invasive Prenatal Diagnostics Protocol,,
lab-rep-101,Neonatal skrining tahlili,Анализ неонатального скрининга,Neonatal Screening Test,,
lab-rep-102,Tandemm mass-spektrometriya tahlili,Анализ методом тандемий масс-спектрометрии,Tandem Mass Spectrometry Test,,
lab-rep-103,Klinik - diagnostik laboratoriya IXLA tahlili,Клинико-диагностическая лаборатория Анализ ИФА,Clinical Diagnostic Laboratory ELISA Test,,
lab-rep-104,Ter sinamasi tahlili,Анализ потового теста,Sweat Test Analysis,,
lab-rep-105,Neonatal retest skrining taxlili,Анализ повторного неонатального скриннинга,Neonatal Retest Screening Analysis,,
lab-rep-106,Homiladagi genetik kasalliklar uchun invaziv prenatal diagnostika o'tkazilgandan so'ng XULOSA,Заключение после извазивной пренатальной диагностики генетических заболеваний плода,Conclusion After Invasive Prenatal Diagnosis of Fetal Genetic Diseases,,
lab-rep-107,Prenatal invaziv muolaja bayonnomasi,Протокол пренатальной инвазивной процедуры,Prenatal Invasive Procedure Protocol,,
lab-rep-108,Homila xromosoma sindromiga prenatal invaziv muolaja xulosasi,Заключение пренатальной инвазивной прцедуры на хромосомный синдром плода,Prenatal Invasive Procedure Conclusion for Fetal Chromosomal Syndrome,,
lab-rep-109,Kariotip tahlili,Анализ кариотипа,Karyotype Analysis,,
lab-rep-110,Shaxsda oiv mavjud emasligi to'g'risidagi ma'lumotnoma,Справка об отсуствии ВИЧ у лица,HIV-Negative Certificate,,
lab-rep-111,Shaxsda OIV mavjud emasligi to'g'risidagi komissiya xulosasi MA'LUMOTNOMA,Справка-заключение комиссии об отсуствие ВИЧ у лица,Commission Conclusion Certificate on HIV-Negative Status,,
lab-rep-112,Biomateriallarni qabul qilish,Приём биоматериаллов,Biological Material Reception,,
lab-rep-113,Patologo-anatomik tadqiqot bayoni,Протокол патолого-анатомического исследования,Pathological Anatomy Research Protocol,,
lab-rep-114,Sud-tibbiy laboratoriya va mutaxassis maslahatiga yo'llanma dalolatnomasi,Акт направления на судебно-медицинскую лабораторию и консультацию специалиста,Referral Act for Forensic Medical Laboratory and Specialist Consultation,,
lab-rep-115,Nobud bo'lgan hayvonlar murda materialini laborator tekshirilganligi bo'yicha epizootik,Эпизоотический акт лабораторного исследования трупного материала павших животных,Epizootic Act of Laboratory Examination of Cadaver Material of Dead Animals,,
lab-rep-116,Suv namunasini olish dalolatnomasi,Акт отбора проб воды,Water Sample Collection Act,,
lab-rep-117,Oziq-ovkat mahsulotlaridan namunalar olish bo'yicha dalolatnoma,Акт отбора проб пищевых продуктов,Food Product Sample Collection Act,,
lab-rep-118,Qishloq xo'jaligi va oziq ovqat mahsulotlari namunalarida pestitsidlar qoldiq mikdorlarini aniqlash bo'yicha dalolatnoma,Акт определения остаточных количеств пестицидов в образцах сельскохозяйственной и пищевой продукции,Act for Determining Residual Pesticide Levels in Agricultural and Food Product Samples,,
lab-rep-119,Tashqi muxit anjomlaridan surtmalar olish bo'yicha dalolatnoma,Акт взятия смывов с объектов внешней среди,Act of Taking Swabs from Environmental Objects,,
lab-rep-120,"Radiaktiv moddalar va materiallarini, ionlashtiruvchi nurlar va radiaktiv chiqindilarni doimiy tashish uchun maxsus avtomashinaga berilgan sanitariya epidemiologik xulosa","Санитарно-эпидемиологическое заключение на специальный автомобиль для постоянной перевозки радиоактивных веществ, материалов, ионизирующих излучений и радиоактивных отходов","Sanitary-Epidemiological Conclusion for Special Vehicle for Permanent Transportation of Radioactive Substances, Materials, Ionizing Radiation and Radioactive Waste",,
lab-rep-121,01 guruxga mansub vabo vibrionlarini tekshirish natijasi,Результат исследования холерных вибрионов группы 01,Cholera Vibrio Group O1 Test Result,,
lab-rep-122,Identifikatsiyaga yuborilgan kulturalarning tekshirish natijasi,"Результат исследования культур, направленных на идентификацию",Test Result of Cultures Sent for Identification,,
lab-rep-123,Shtammlarni qabul qilish dalolatnomasi,Акт приёма штаммов,Strain Reception Act,,
lab-rep-124,Ajratilgan ko'ydirgi qo'zg'atuvchisi shtammlarni qayd qilish va identifikatsiya natijalari i.,Результаты регистрации и идентификации выделенных штаммов возбудителя сибирской язвы,Registration and Identification Results of Isolated Anthrax Pathogen Strains,,
lab-rep-125,Birlamchi rayon sektorlarini tekshiruv natijalari,Результаты обследования первичных районных секторов,Primary District Sector Inspection Results,,
lab-rep-126,Tuproqdan olingan namunalarni radiologik tekshirish bayonnomasi,Протокол радиологического исследования образцов почвы,Radiological Examination Protocol of Soil Samples,,
lab-rep-127,Usimliklardan olingan namunalarni radiologik tekshirish bayonnomasi,Протокол радиологического исследования образцов расстений,Radiological Examination Protocol of Plant Samples,,
lab-rep-128,Qurilish (rekonstruksiyasi)tugallangan obyektlarni foydalanishga qabul qilishni rad etish to'g'risida xulosa,Заключение об отказе в принятии в эксплуатацию завершённых строительством (реконструкцией) объектов,Conclusion on Refusal to Commission Completed Construction (Reconstruction) Objects,,
lab-rep-129,Qurilish (rekonstruksiyasi)tugallangan obyektlarni foydalanishga qabul qilishni ma'qullash to'g'risida xulosa,Заключение об одобрении принятии в эксплуатацию завершённых строительством (реконструкцией) объектов,Conclusion on Approval to Commission Completed Construction (Reconstruction) Objects,,
lab-rep-130,Ultrabinafsha nurlanish darajasini o'lchashdagi - sonli protokol,Числовой протокол измерения уровня ультрафиолетового излучения,Numerical Protocol for Ultraviolet Radiation Level Measurement,,
lab-rep-131,Tuproq namunalarini tekshirish bo'yicha -sonli dalolatnoma,Числовой акт проверки образцов почвы,Numerical Act for Soil Sample Testing,,
lab-rep-132,Ichimlik suvini tekshirish bo'yicha sonli bayonnoma,Числовой протокол проверки питьевой воды,Numerical Protocol for Drinking Water Testing,,
lab-rep-133,Ob-havo omillarini o'lchash bo'yicha - sonli bayonnoma,Числовой протокол измерения метеорологических факторов,Numerical Protocol for Meteorological Factor Measurement,,
lab-rep-134,Tuproq namunalarini tekshirish bo'yicha - sonli bayonnoma,Числовой протокол проверки образцов почвы,Numerical Protocol for Soil Sample Testing,,
lab-rep-135,Elektromagnit maydoni kuchlanishini o'lchashdagi - sonli bayonnoma,Числовой протокол измерения напряжённости электромагнитного поля,Numerical Protocol for Electromagnetic Field Intensity Measurement,,
lab-rep-136,Shovqin va tebranishni (vibratsiya) o'lchash bo'yicha -sonli bayonnoma,Числовой протокол измерения шума и вибрации,Numerical Protocol for Noise and Vibration Measurement,,
lab-rep-137,Yorug'likni o'lchash bo'yicha -sonli bayonnoma,Числовой протокол измерения освещённости,Numerical Protocol for Illumination Measurement,,
lab-rep-138,Oziq-ovqat mahsulotlaridan olingan namunalarni tekshirish bo'yicha sonli bayonnoma,Числовой протокол проверки образцов пищевых продуктов,Numerical Protocol for Food Product Sample Testing,,
lab-rep-139,Oziq-ovqat va kosmetika maxsulotlarini sanitariya-bakteriologik tekshiruvi bo'yicha -sonli bayonnoma,Числовой протокол санитарно-бактериологического исследование пищевых и косметических продуктов,Numerical Protocol for Sanitary-Bacteriological Examination of Food and Cosmetic Products,,
lab-rep-140,Dozimetrik o'lchov bo'yicha -sonli bayonnoma,Числовой протокол дозиметрических измерений,Numerical Protocol for Dosimetric Measurements,,
lab-rep-141,Rentgen kabinetni foydalanishga qabul etilganligi haqida dalolatnoma,Акт о принятии рентген -кабинета в эксплуатацию,Act of Commissioning X-Ray Room,,
lab-rep-142,O'tkazilgan radiometrik o'lchov buyicha -sonli bayonnoma,Числовой протокол проведённых радиометрических измерений,Numerical Protocol for Radiometric Measurements,,
lab-rep-143,Rentgen kabinetida rentgen nurlaridan saqlanish vositalarini tekshirish bo'yicha -sonli bayonnoma,Числовой протокол проверки средств защиты от рентгеновского излучения в рентген-кабинете,Numerical Protocol for X-Ray Protection Equipment Inspection in X-Ray Room,,
lab-rep-144,"Tadbirkorlik subyektlarining sanitariya qoidalari, normalari va gigiyena normativlariga mosligi bo'yicha Sanitariya-epidemiologiya osoyishtalik belgisi","Знак санитарно-эпидемиологического благополучия субъектов предпринимательства по соответствию санитарным правилам, нормам и гигиеническим нормативам",Sanitary-Epidemiological Welfare Certificate for Business Entities on Compliance with Sanitary Rules and Hygienic Standards,,
lab-rep-145,Namunalarni sanitariya-bakteriologik tekshiruv bayoni,Протокол санитарно-бактериологического исследования образцов,Sanitary-Bacteriological Examination Protocol of Samples,,
lab-rep-146,Tashqi muxit anjomlaridan olingan surtma namunalarini tekshirish bayoni,Протокол исследования смывов с объектов внешней среды,Examination Protocol of Swab Samples from Environmental Objects,,
lab-rep-147,Tashqi muhit anjomlaridan sanitar- gelmintologik surtmalar olish sonli DALOLATNOMA,Числовой акт взятия санитарно-гельминтологических смывов с объектов внешней среды,Numerical Act of Taking Sanitary-Helminthological Swabs from Environmental Objects,,
lab-rep-148,Dezinfeksiyalovchi kamera ishini nazorat qilish dalolatnomasi,Акт контроля работы дезинфекционной камеры,Disinfection Chamber Operation Control Act,,
lab-rep-149,Naryad bo'yicha o'tkazilgan dezinfeksiya haqida ma'lumotnoma,Справка о проведённой дезинфекции по наряду,Certificate of Disinfection Performed by Order,,
lab-rep-150,Dezinfeksiya vositalarini tekshirish -sonli bayonnoma,Числовой протокол проверки дезинфицирующих средств,Numerical Protocol for Disinfectant Testing,,
lab-rep-151,O'zR SSV KUXYUKMM tomonidan O'LAT qo'zg'atuvchisini 200 gdan gacha ajratilgan kultura to'g'risida XABARNOMA,"Уведомление о выделенной культуре возбудителя ЧУМЫ до 200 г, направленное КУХЮКММ МЗ РУз","Notification on Isolated PLAGUE Pathogen Culture up to 200g by the Republican Center, Ministry of Health of Uzbekistan",,
